name,brand,rating,price_bdt,release_year,os,display_inches,camera_megapixel,ram_gb,battery_mah
ZTE Blade V70,ZTE,6.8,0.0,"2025, January",Android 14,6.7,108,8,5000.0
ZTE nubia Red Magic 10 Pro+,ZTE,9.5,125000.0,"2024, November 18",Android 15,6.85,50,8,7050.0
ZTE nubia Red Magic 10 Pro,ZTE,9.0,105000.0,"2024, November 18",Android 15,6.85,50,8,7050.0
Vivo Y18t,Vivo,5.9,15000.0,"2024, November 12",Android 14,6.56,50,4,5000.0
Itel S25 Ultra,Itel,7.6,17990.0,"2024, November",Android 14,6.78,50,8,5000.0
Itel S25,Itel,7.6,13990.0,"2024, November",Android 14,6.78,50,6,5000.0
Sharp Aquos sense9,Sharp,8.4,45000.0,"2024, November 07",Android 14,6.1,50,2,5000.0
Honor X9c,Honor,7.9,44999.0,"2024, November 15",Android 14,6.78,108,1,6600.0
Oukitel C58 Pro,Oukitel,6.4,25000.0,"2024, November",Android 14,6.7,50,6,5150.0
Oukitel C58,Oukitel,6.1,20000.0,"2024, November",Android 14,6.7,13,4,5150.0
Oukitel P1,Oukitel,7.0,25000.0,"2024, November",Android 14,6.7,50,4,5150.0
Ulefone Armor 27T,Ulefone,7.8,40000.0,"2024, November",Android 14,6.78,64,12,10600.0
Ulefone Note 18 Pro,Ulefone,6.6,0.0,"2024, November",Android 14,6.78,64,6,5450.0
Ulefone Armor 27,Ulefone,7.5,35000.0,"2024, November",Android 14,6.78,64,12,10600.0
Realme GT7 Pro,Realme,9.1,78000.0,"2024, November 04",Android 15,6.78,50,8,6500.0
Vivo V40 Lite 4G,Vivo,6.8,26999.0,"2024, November 05",Android 14,6.67,50,2,5000.0
Cubot KingKong X Pro,Cubot,8.1,40000.0,"2024, November",Android 14,6.72,100,12,10200.0
Nokia 125 4G (2024),Nokia,7.1,0.0,"2024, November",,2.0,1,0,1000.0
Nokia 108 4G (2024),Nokia,7.0,0.0,"2024, November",,2.0,1,0,1000.0
OnePlus 13,OnePlus,9.0,90000.0,"2024, November 01",Android 15,6.82,50,8,6000.0
Honor Magic7 Pro,Honor,9.8,108000.0,"2024, November 08",Android 15,6.8,200,8,5850.0
Vivo iQOO 13,Vivo,9.0,70000.0,"2024, November 08",Android 15,6.82,50,8,6150.0
Honor Magic7,Honor,8.9,100000.0,"2024, November 08",Android 15,6.78,50,8,5650.0
Sharp Aquos R9 Pro,Sharp,9.0,150000.0,"2025, February",Android 14,6.7,50,3,5000.0
Xiaomi 15 Pro,Xiaomi,10.0,105000.0,"2024, October 29",Android 15,6.73,50,8,6100.0
Xiaomi 15,Xiaomi,9.1,85000.0,"2024, October 29",Android 15,6.36,50,8,5240.0
Nokia 110 4G (2024),Nokia,6.9,0.0,"Exp. release 2024, November",,2.0,1,0,1000.0
Xiaomi Poco C75,Xiaomi,7.0,20000.0,"2024, November 05",Android 14,6.88,50,6,5160.0
Sonim XP100,Sonim,6.9,15000.0,"2024, October 24",,2.4,2,0,1800.0
